
Date,Close,Volume,Open,High,Low
8/5/19,$27.99 ,74333240,$28.26 ,$28.49 ,$27.65 
8/2/19,$29.44 ,60410850,$29.48 ,$29.73 ,$28.94 
8/1/19,$29.86 ,80878890,$30.50 ,$31.48 ,$29.10 
07/31/2019,$30.45 ,119190000,$32.08 ,$32.30 ,$30.30 
07/30/2019,$33.87 ,72198880,$33.21 ,$33.94 ,$32.94 
07/29/2019,$33.48 ,45921980,$34.14 ,$34.18 ,$32.98 
07/26/2019,$34.02 ,43502780,$34.23 ,$34.77 ,$33.87 
07/25/2019,$33.67 ,36705620,$34.05 ,$34.25 ,$33.62 
07/24/2019,$34.11 ,41952260,$33.64 ,$34.36 ,$33.45 
07/23/2019,$33.49 ,38532460,$33.17 ,$33.50 ,$32.93 
07/22/2019,$32.85 ,37777310,$32.80 ,$33.31 ,$32.74 
07/19/2019,$32.51 ,44617700,$33.08 ,$33.35 ,$32.45 
07/18/2019,$33 ,58610860,$33.03 ,$33.46 ,$32.42 
07/17/2019,$33.60 ,42557900,$34.01 ,$34.30 ,$33.49 
07/16/2019,$33.85 ,66912700,$34.30 ,$34.86 ,$33.80 
07/15/2019,$34.39 ,65565250,$33.34 ,$34.55 ,$33.27 
7/12/19,$33.21 ,51509680,$32.76 ,$33.39 ,$32.59 
7/11/19,$33.06 ,63081800,$33.91 ,$34 ,$32.76 
7/10/19,$33.79 ,60388440,$33.56 ,$34.03 ,$33.36 
7/9/19,$33.15 ,61419770,$31.76 ,$33.18 ,$31.71 
7/8/19,$32.04 ,49689400,$31.80 ,$32.15 ,$31.26 
7/5/19,$31.50 ,34011870,$30.88 ,$31.56 ,$30.75 
7/3/19,$31.19 ,23462000,$31.13 ,$31.33 ,$30.74 
7/2/19,$31.24 ,37721680,$30.96 ,$31.26 ,$30.73 
7/1/19,$31.20 ,60525530,$31.79 ,$32.04 ,$30.87 
06/28/2019,$30.37 ,50090930,$31.08 ,$31.11 ,$30.33 
06/27/2019,$30.74 ,55623310,$30.41 ,$30.96 ,$30.21 
06/26/2019,$29.92 ,65064200,$29.98 ,$30.48 ,$29.78 
06/25/2019,$28.86 ,53680890,$29.26 ,$29.72 ,$28.80 
06/24/2019,$29.26 ,55724830,$29.32 ,$29.40 ,$28.67 
06/21/2019,$29.10 ,81861320,$29.65 ,$30.35 ,$28.97 
06/20/2019,$30.01 ,72418160,$31.24 ,$31.36 ,$29.84 
06/19/2019,$30.50 ,63233940,$30.67 ,$30.79 ,$30.06 
06/18/2019,$30.45 ,86444540,$29.76 ,$30.97 ,$29.58 
06/17/2019,$29.20 ,70865740,$30.25 ,$30.45 ,$29.18 
06/14/2019,$30.36 ,70373020,$30.70 ,$30.96 ,$30.02 
06/13/2019,$31.39 ,63555990,$32.39 ,$32.50 ,$31.06 
6/12/19,$32.18 ,56298670,$32 ,$32.57 ,$31.92 
6/11/19,$32.41 ,82834910,$33.43 ,$33.49 ,$31.82 
6/10/19,$33.23 ,97668790,$33.53 ,$34.30 ,$33.08 
6/7/19,$32.41 ,86841100,$31.94 ,$32.60 ,$31.57 
6/6/19,$31.82 ,131267800,$29.87 ,$31.98 ,$29.84 
6/5/19,$29.50 ,79481540,$29.93 ,$29.99 ,$29.03 
6/4/19,$29.57 ,107549500,$28.39 ,$29.59 ,$27.91 
6/3/19,$27.58 ,147532200,$28.75 ,$29.62 ,$27.29 
05/31/2019,$27.41 ,68667810,$27.57 ,$28.36 ,$27.40 
05/30/2019,$28.03 ,65289090,$28.40 ,$28.56 ,$27.60 
05/29/2019,$28.09 ,99969600,$29 ,$29.32 ,$27.73 
05/28/2019,$29.03 ,146949600,$27.27 ,$29.67 ,$27.06 
05/24/2019,$26.44 ,39835790,$26.61 ,$26.93 ,$26.40 
05/23/2019,$26.36 ,67809150,$26.99 ,$27.10 ,$26.03 
05/22/2019,$27.41 ,40035290,$27.12 ,$27.59 ,$27.07 
05/21/2019,$27.35 ,46079180,$27.18 ,$27.37 ,$26.93 
05/20/2019,$26.68 ,69757400,$26.98 ,$27.24 ,$26.49 
05/17/2019,$27.50 ,65385350,$27.69 ,$28.46 ,$27.40 
05/16/2019,$28.01 ,67330060,$27.37 ,$28.37 ,$27.27 
05/15/2019,$27.58 ,55689870,$26.87 ,$27.79 ,$26.73 
05/14/2019,$27.32 ,82980400,$26.53 ,$27.48 ,$26.15 
05/13/2019,$26.24 ,99017890,$26.98 ,$27.23 ,$26.10 
5/10/19,$27.96 ,82930140,$27.03 ,$28.10 ,$26.93 
5/9/19,$27.21 ,73150880,$26.70 ,$27.38 ,$26.03 
5/8/19,$27.09 ,65967540,$26.41 ,$27.71 ,$26.27 
5/7/19,$26.66 ,75868820,$27.20 ,$27.35 ,$26.21 
5/6/19,$27.42 ,70344090,$26.72 ,$27.50 ,$26.45 
5/3/19,$28.22 ,55503060,$28.30 ,$28.42 ,$27.66 
5/2/19,$28.29 ,100514800,$26.94 ,$28.64 ,$26.61 
5/1/19,$26.81 ,136066900,$28.95 ,$29.15 ,$26.78 
04/30/2019,$27.63 ,68499770,$27.59 ,$27.80 ,$26.94 
04/29/2019,$27.69 ,44265600,$27.90 ,$28.14 ,$27.50 
04/26/2019,$27.88 ,48736860,$27.66 ,$27.90 ,$27.05 
04/25/2019,$27.66 ,56709000,$28.67 ,$28.86 ,$27.36 
04/24/2019,$28.46 ,51487330,$28.10 ,$28.85 ,$27.93 
04/23/2019,$27.97 ,41583740,$28.18 ,$28.49 ,$27.79 
04/22/2019,$28.18 ,36400850,$27.62 ,$28.23 ,$27.39 
04/18/2019,$27.68 ,39814790,$27.60 ,$27.88 ,$27.34 
04/17/2019,$27.49 ,48154690,$28.21 ,$28.27 ,$27.22 
04/16/2019,$27.93 ,47212740,$27.72 ,$28.18 ,$27.49 
04/15/2019,$27.33 ,40739300,$27.80 ,$27.84 ,$26.96 
4/12/19,$27.85 ,40957900,$28.21 ,$28.38 ,$27.66 
4/11/19,$27.79 ,44616360,$27.81 ,$28.05 ,$27.46 
4/10/19,$27.83 ,64160940,$27.46 ,$28.12 ,$27.32 
4/9/19,$27.24 ,75260050,$28.24 ,$28.38 ,$27.19 
4/8/19,$28.53 ,57868370,$28.69 ,$28.95 ,$28.18 
4/5/19,$28.98 ,65521490,$29.64 ,$29.69 ,$28.80 
4/4/19,$29.09 ,82049300,$28.88 ,$29.39 ,$28.61 
4/3/19,$29.02 ,197043700,$28.02 ,$29.95 ,$27.88 
4/2/19,$26.75 ,52823610,$26.51 ,$26.80 ,$26.09 
4/1/19,$26.36 ,62824700,$26.42 ,$26.56 ,$25.83 
03/29/2019,$25.52 ,53314640,$25.58 ,$25.73 ,$25.25 
03/28/2019,$25.06 ,64508920,$25.10 ,$25.56 ,$24.65 
03/27/2019,$24.89 ,88468390,$25.70 ,$25.88 ,$24.55 
03/26/2019,$25.69 ,75291650,$26.69 ,$26.98 ,$25.46 
03/25/2019,$25.97 ,78295460,$26.29 ,$26.99 ,$25.54 
03/22/2019,$26.37 ,114991600,$27.54 ,$27.75 ,$26.33 
03/21/2019,$27.89 ,127895100,$25.78 ,$28.11 ,$25.71 
03/20/2019,$25.70 ,150947000,$26.49 ,$26.88 ,$25.31 
03/19/2019,$26 ,154214600,$23.60 ,$26.08 ,$23.59 
03/18/2019,$23.25 ,34636110,$23.30 ,$23.62 ,$23.04 
03/15/2019,$23.29 ,46445110,$23.10 ,$23.65 ,$23.01 
03/14/2019,$22.82 ,42707330,$23.37 ,$23.49 ,$22.80 
03/13/2019,$23.38 ,56399350,$23.66 ,$24.15 ,$23.35 
3/12/19,$23.49 ,56261330,$23.10 ,$23.80 ,$22.78 
3/11/19,$22.96 ,54114630,$22.15 ,$23.08 ,$21.98 
3/8/19,$22.01 ,49856070,$21.35 ,$22.09 ,$21.04 
3/7/19,$22.08 ,51971070,$22.33 ,$22.41 ,$21.73 
3/6/19,$22.41 ,60328940,$23.47 ,$23.53 ,$22.40 
3/5/19,$23.50 ,35300270,$23.34 ,$23.68 ,$23.01 
3/4/19,$23.37 ,47986840,$23.89 ,$24.13 ,$23.01 
3/1/19,$23.68 ,45049370,$23.97 ,$24.19 ,$23.45 
02/28/2019,$23.53 ,38578940,$23.21 ,$23.67 ,$23.11 
02/27/2019,$23.48 ,62265120,$24.11 ,$24.23 ,$23.21 
02/26/2019,$24.21 ,44622530,$24.65 ,$24.72 ,$24.15 
02/25/2019,$24.71 ,62932710,$25.01 ,$25.52 ,$24.68 
02/22/2019,$24.36 ,52444420,$24.05 ,$24.36 ,$23.88 
02/21/2019,$23.92 ,49488120,$24.04 ,$24.33 ,$23.85 
02/20/2019,$23.95 ,56690950,$24.14 ,$24.37 ,$23.90 
02/19/2019,$23.95 ,57323750,$23.63 ,$24.41 ,$23.61 
02/15/2019,$23.68 ,78499180,$23.58 ,$24.05 ,$23.20 
02/14/2019,$23.13 ,63934490,$22.74 ,$23.37 ,$22.59 
02/13/2019,$22.85 ,57294230,$22.98 ,$23.24 ,$22.71 
2/12/19,$22.82 ,67318410,$23.43 ,$23.56 ,$22.75 
2/11/19,$22.96 ,60387870,$23.05 ,$23.28 ,$22.66 
2/8/19,$23.05 ,77101180,$22.33 ,$23.28 ,$22.27 
2/7/19,$22.67 ,86449170,$22.99 ,$23.22 ,$22.32 
2/6/19,$23.26 ,78457780,$23.63 ,$24.14 ,$23.22 
2/5/19,$23.31 ,121159200,$23.42 ,$23.86 ,$22.98 
2/4/19,$24.13 ,69846670,$24.43 ,$24.66 ,$24.07 
2/1/19,$24.51 ,105173100,$24.61 ,$24.84 ,$24.07 
01/31/2019,$24.41 ,181877200,$23.02 ,$25.14 ,$22.83 
01/30/2019,$23.09 ,210777100,$21.49 ,$23.13 ,$21.37 
01/29/2019,$19.25 ,126418900,$20.26 ,$20.39 ,$19.05 
01/28/2019,$20.18 ,134743600,$20.32 ,$21.01 ,$20.02 
01/25/2019,$21.93 ,110161400,$20.99 ,$22.03 ,$20.79 
01/24/2019,$20.85 ,96329090,$20.06 ,$21.01 ,$20.04 
01/23/2019,$19.80 ,77542570,$20.03 ,$20.48 ,$19.55 
01/22/2019,$19.76 ,78292580,$20.48 ,$20.92 ,$19.70 
01/18/2019,$20.77 ,87971230,$20.37 ,$21.05 ,$20.02 
01/17/2019,$20.25 ,84502560,$19.49 ,$20.51 ,$19.02 
01/16/2019,$19.73 ,70533680,$20.40 ,$20.54 ,$19.71 
01/15/2019,$20.38 ,62548940,$20.44 ,$20.68 ,$20.26 
01/14/2019,$20.23 ,71053050,$19.96 ,$20.62 ,$19.75 
1/11/19,$20.27 ,84972130,$19.47 ,$20.35 ,$19.19 
1/10/19,$19.74 ,115286200,$19.76 ,$19.83 ,$18.90 
1/9/19,$20.19 ,163680500,$20.89 ,$21.44 ,$20.07 
1/8/19,$20.75 ,117593000,$21.19 ,$21.20 ,$19.68 
1/7/19,$20.57 ,106684100,$19.44 ,$20.68 ,$19 
1/4/19,$19 ,111510800,$17.55 ,$19.07 ,$17.43 
1/3/19,$17.05 ,117014500,$18.42 ,$18.68 ,$16.94 
1/2/19,$18.83 ,86497360,$18.01 ,$19 ,$17.98 
12/31/2018,$18.46 ,84461870,$18.15 ,$18.51 ,$17.85 
12/28/2018,$17.82 ,108590900,$17.53 ,$18.31 ,$17.14 
12/27/2018,$17.49 ,110853500,$17.43 ,$17.74 ,$16.44 
12/26/2018,$17.90 ,108498500,$16.88 ,$17.91 ,$16.03 
12/24/2018,$16.65 ,62933130,$16.52 ,$17.22 ,$16.37 
12/21/2018,$16.93 ,129562600,$18.12 ,$18.34 ,$16.76 
12/20/2018,$17.94 ,119056000,$18.11 ,$18.86 ,$17.34 
12/19/2018,$18.16 ,120303700,$19.44 ,$19.72 ,$18 
12/18/2018,$19.50 ,101088300,$19.15 ,$19.84 ,$18.88 
12/17/2018,$18.83 ,115048600,$20.01 ,$20.03 ,$18.64 
12/14/2018,$19.90 ,84614800,$19.58 ,$20.70 ,$19.52 
12/13/2018,$19.86 ,87940320,$20.63 ,$20.87 ,$19.76 
12/12/18,$20.48 ,100056400,$20.32 ,$21.02 ,$19.71 
12/11/18,$19.98 ,87817520,$20.71 ,$21.14 ,$19.69 
12/10/18,$19.99 ,77641220,$19.35 ,$20.13 ,$19.27 
12/7/18,$19.46 ,105527100,$21.30 ,$21.38 ,$19.17 
12/6/18,$21.30 ,103133300,$20.22 ,$21.41 ,$20.06 
12/4/18,$21.12 ,127013600,$23.35 ,$23.42 ,$21.07 
12/3/18,$23.71 ,139093500,$22.48 ,$23.75 ,$22.37 
11/30/2018,$21.30 ,82106130,$21.30 ,$21.36 ,$20.52 
11/29/2018,$21.43 ,79662780,$21.19 ,$21.61 ,$20.73 
11/28/2018,$21.34 ,134198200,$21.82 ,$21.88 ,$20.18 
11/27/2018,$21.05 ,118771800,$19.77 ,$21.45 ,$19.73 
